                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1143,                0.93436,                 1.1214,                0.76339,                0.62507,                0.70889,                 0.4723,                 1.0678,                0.80323,                 1.0593,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.1934,                 0.9704,                 1.1607,                0.71415,                0.57654,                0.65142,                 0.4171,                 1.1718,                 0.9494,                 1.1312,              0.0065983,              0.0065983,              0.0065983
                      3,                 1.3295,                 1.1503,                 1.2415,                0.66876,                0.50692,                0.56681,                0.34164,                 1.3555,                   1.17,                 1.2582,              0.0097997,              0.0097997,              0.0097997
                      4,                  1.416,                 1.2644,                 1.3015,                0.68633,                0.50966,                0.58405,                0.35104,                 1.3437,                 1.1516,                 1.2572,               0.009703,               0.009703,               0.009703
                      5,                 1.3853,                 1.2199,                 1.2848,                0.69126,                0.54271,                0.60979,                 0.3751,                  1.287,                 1.0564,                 1.2158,               0.009703,               0.009703,               0.009703
                      6,                 1.3462,                 1.1695,                 1.2607,                0.71371,                0.54904,                0.62611,                 0.3901,                 1.2569,                 1.0205,                 1.1927,               0.009604,               0.009604,               0.009604
                      7,                 1.3241,                 1.1449,                 1.2521,                0.71615,                0.56321,                0.63767,                0.40033,                  1.232,                 0.9983,                 1.1781,               0.009505,               0.009505,               0.009505
                      8,                 1.3048,                 1.1214,                 1.2381,                0.73419,                0.57195,                0.65311,                0.41521,                 1.2123,                 0.9576,                 1.1711,               0.009406,               0.009406,               0.009406
                      9,                 1.2883,                 1.0914,                 1.2281,                0.72369,                0.58442,                0.66547,                0.42755,                 1.1837,                0.93391,                 1.1482,               0.009307,               0.009307,               0.009307
                     10,                 1.2716,                 1.0782,                 1.2205,                0.73152,                0.59877,                0.67321,                0.43447,                 1.1714,                0.91416,                 1.1447,               0.009208,               0.009208,               0.009208
                     11,                  1.268,                 1.0659,                 1.2143,                0.72511,                0.60691,                0.67968,                0.44158,                 1.1496,                0.90013,                 1.1288,               0.009109,               0.009109,               0.009109
                     12,                 1.2494,                 1.0444,                 1.2061,                0.73984,                0.60935,                0.68654,                0.44717,                 1.1451,                0.88779,                  1.128,                0.00901,                0.00901,                0.00901
                     13,                 1.2405,                 1.0334,                 1.2006,                0.74395,                0.61007,                 0.6948,                0.45604,                 1.1252,                0.86529,                 1.1105,               0.008911,               0.008911,               0.008911
                     14,                  1.234,                 1.0232,                 1.1991,                0.74365,                0.61935,                0.69957,                0.45993,                 1.1193,                  0.856,                 1.1133,               0.008812,               0.008812,               0.008812
                     15,                 1.2324,                 1.0164,                  1.195,                0.75644,                0.62253,                0.70557,                 0.4667,                 1.1018,                0.83637,                 1.0994,               0.008713,               0.008713,               0.008713
                     16,                 1.2157,                 1.0012,                 1.1848,                0.75198,                0.62623,                0.70941,                 0.4701,                 1.0984,                0.83337,                 1.0981,               0.008614,               0.008614,               0.008614
                     17,                 1.2139,                      1,                  1.182,                 0.7452,                0.63649,                0.71737,                0.47678,                  1.086,                0.81654,                 1.0901,               0.008515,               0.008515,               0.008515
                     18,                 1.2034,                0.98617,                 1.1802,                0.75905,                 0.6365,                0.71904,                0.47935,                 1.0811,                0.80459,                  1.085,               0.008416,               0.008416,               0.008416
                     19,                 1.1997,                0.97934,                 1.1753,                0.76605,                 0.6383,                0.72235,                0.48298,                 1.0743,                0.79989,                  1.083,               0.008317,               0.008317,               0.008317
                     20,                 1.1977,                 0.9732,                 1.1761,                0.77529,                0.63251,                0.72606,                0.48668,                 1.0661,                0.78737,                 1.0783,               0.008218,               0.008218,               0.008218
                     21,                 1.1897,                0.96576,                 1.1707,                0.76292,                0.64849,                0.72787,                0.49173,                 1.0563,                0.77881,                 1.0747,               0.008119,               0.008119,               0.008119
                     22,                 1.1844,                0.95843,                 1.1677,                0.77458,                0.65322,                0.73507,                0.49783,                 1.0491,                0.76867,                 1.0643,                0.00802,                0.00802,                0.00802
                     23,                 1.1789,                0.95294,                 1.1641,                0.77368,                   0.65,                0.73657,                0.49981,                  1.043,                0.76501,                 1.0601,               0.007921,               0.007921,               0.007921
                     24,                 1.1783,                0.95032,                  1.162,                0.77273,                0.65642,                0.73951,                0.50169,                 1.0417,                0.75734,                 1.0623,               0.007822,               0.007822,               0.007822
                     25,                 1.1744,                0.94259,                 1.1569,                0.78082,                 0.6534,                0.74171,                0.50578,                 1.0365,                0.74896,                 1.0581,               0.007723,               0.007723,               0.007723
                     26,                 1.1721,                0.93688,                 1.1564,                0.77582,                0.66375,                0.74613,                0.51049,                 1.0274,                 0.7434,                 1.0529,               0.007624,               0.007624,               0.007624
                     27,                 1.1676,                0.93277,                 1.1564,                 0.7798,                0.66891,                0.75045,                0.51331,                 1.0253,                0.73655,                 1.0502,               0.007525,               0.007525,               0.007525
                     28,                 1.1616,                0.92886,                 1.1547,                0.78202,                0.66257,                0.75009,                0.51439,                 1.0212,                0.73239,                 1.0476,               0.007426,               0.007426,               0.007426
                     29,                  1.158,                0.92229,                 1.1488,                0.77521,                0.66974,                0.75206,                0.51691,                 1.0127,                0.72222,                  1.043,               0.007327,               0.007327,               0.007327
                     30,                 1.1556,                0.91795,                 1.1475,                 0.7731,                0.67585,                0.75449,                 0.5185,                 1.0115,                0.71943,                 1.0434,               0.007228,               0.007228,               0.007228
                     31,                 1.1524,                0.91465,                  1.147,                0.77059,                0.67794,                 0.7547,                0.51983,                 1.0061,                 0.7143,                 1.0399,               0.007129,               0.007129,               0.007129
                     32,                 1.1474,                0.90876,                 1.1425,                0.77862,                0.68154,                0.75955,                0.52346,                 1.0043,                0.70967,                 1.0391,                0.00703,                0.00703,                0.00703
                     33,                 1.1457,                0.91197,                 1.1436,                0.77725,                0.68393,                0.76108,                0.52625,                 1.0015,                 0.7058,                 1.0385,               0.006931,               0.006931,               0.006931
                     34,                 1.1417,                0.90151,                   1.14,                0.78264,                0.68566,                0.76417,                0.52839,                0.99868,                0.70172,                 1.0361,               0.006832,               0.006832,               0.006832
                     35,                 1.1382,                 0.8972,                 1.1398,                0.79133,                0.68611,                0.76528,                 0.5304,                0.99343,                0.69742,                 1.0333,               0.006733,               0.006733,               0.006733
                     36,                 1.1357,                0.89466,                 1.1372,                0.78699,                0.68583,                0.76594,                0.53112,                0.99119,                0.69383,                 1.0329,               0.006634,               0.006634,               0.006634
                     37,                 1.1341,                0.89226,                 1.1362,                 0.7974,                0.68072,                0.76748,                0.53317,                0.98855,                0.69085,                 1.0304,               0.006535,               0.006535,               0.006535
                     38,                 1.1284,                0.88323,                  1.133,                 0.7964,                 0.6797,                0.76861,                0.53488,                0.98547,                0.68627,                  1.029,               0.006436,               0.006436,               0.006436
                     39,                  1.123,                0.87829,                 1.1317,                0.79353,                0.68363,                0.77008,                 0.5369,                0.98226,                0.68248,                 1.0277,               0.006337,               0.006337,               0.006337
                     40,                 1.1251,                0.87787,                 1.1289,                0.79885,                0.68089,                0.77086,                0.53874,                0.97965,                0.67954,                 1.0256,               0.006238,               0.006238,               0.006238
                     41,                 1.1217,                0.87149,                  1.127,                0.80021,                0.68308,                0.77233,                0.54028,                0.97666,                0.67607,                 1.0238,               0.006139,               0.006139,               0.006139
                     42,                 1.1172,                0.86841,                 1.1243,                0.79432,                0.68866,                0.77356,                0.54214,                 0.9739,                0.67441,                 1.0216,                0.00604,                0.00604,                0.00604
                     43,                 1.1165,                0.86703,                 1.1242,                0.79123,                0.69307,                0.77389,                0.54319,                0.97192,                0.67165,                 1.0201,               0.005941,               0.005941,               0.005941
                     44,                 1.1145,                0.86434,                 1.1221,                0.78788,                0.69486,                0.77437,                0.54438,                0.97106,                0.66899,                 1.0201,               0.005842,               0.005842,               0.005842
                     45,                 1.1114,                0.86142,                   1.12,                0.78867,                0.69455,                0.77543,                0.54545,                0.96918,                  0.667,                 1.0191,               0.005743,               0.005743,               0.005743
                     46,                 1.1081,                0.85801,                 1.1199,                0.79148,                0.69478,                0.77639,                 0.5463,                0.96745,                0.66467,                 1.0182,               0.005644,               0.005644,               0.005644
                     47,                 1.1053,                0.85225,                 1.1168,                0.78842,                0.69754,                0.77761,                0.54698,                0.96674,                0.66252,                 1.0176,               0.005545,               0.005545,               0.005545
                     48,                 1.1009,                0.84724,                 1.1159,                0.78879,                0.70035,                0.77809,                0.54742,                0.96533,                0.66052,                 1.0167,               0.005446,               0.005446,               0.005446
